date,indicator,value,unit,series_code
2026-06-08,ipca_monthly,0.1600,pct_per_month,433
2026-06-08,selic_target,14.5000,pct_per_year,432
2026-06-09,ipca_monthly,0.1600,pct_per_month,433
2026-06-09,selic_target,14.5000,pct_per_year,432
2026-06-10,ipca_monthly,0.1600,pct_per_month,433
2026-06-10,selic_target,14.5000,pct_per_year,432
2026-06-11,ipca_monthly,0.1600,pct_per_month,433
2026-06-11,selic_target,14.5000,pct_per_year,432
2026-06-12,ipca_monthly,0.1600,pct_per_month,433
2026-06-12,selic_target,14.5000,pct_per_year,432
2026-06-15,ipca_monthly,0.1600,pct_per_month,433
2026-06-15,selic_target,14.5000,pct_per_year,432
2026-06-16,ipca_monthly,0.1600,pct_per_month,433
2026-06-16,selic_target,14.5000,pct_per_year,432
2026-06-17,ipca_monthly,0.1600,pct_per_month,433
2026-06-17,selic_target,14.5000,pct_per_year,432
2026-06-18,ipca_monthly,0.1600,pct_per_month,433
2026-06-18,selic_target,14.2500,pct_per_year,432
2026-06-19,ipca_monthly,0.1600,pct_per_month,433
2026-06-19,selic_target,14.2500,pct_per_year,432
2026-06-22,ipca_monthly,0.1600,pct_per_month,433
2026-06-22,selic_target,14.2500,pct_per_year,432
2026-06-23,ipca_monthly,0.1600,pct_per_month,433
2026-06-23,selic_target,14.2500,pct_per_year,432
2026-06-24,ipca_monthly,0.1600,pct_per_month,433
2026-06-24,selic_target,14.2500,pct_per_year,432
2026-06-25,ipca_monthly,0.1600,pct_per_month,433
2026-06-25,selic_target,14.2500,pct_per_year,432
2026-06-26,ipca_monthly,0.1600,pct_per_month,433
2026-06-26,selic_target,14.2500,pct_per_year,432
2026-06-29,ipca_monthly,0.1600,pct_per_month,433
2026-06-29,selic_target,14.2500,pct_per_year,432
2026-06-30,ipca_monthly,0.1600,pct_per_month,433
2026-06-30,selic_target,14.2500,pct_per_year,432
2026-07-01,selic_target,14.2500,pct_per_year,432
2026-07-02,selic_target,14.2500,pct_per_year,432
2026-07-03,selic_target,14.2500,pct_per_year,432
2026-07-06,selic_target,14.2500,pct_per_year,432
2026-07-07,selic_target,14.2500,pct_per_year,432
2026-07-08,selic_target,14.2500,pct_per_year,432
2026-07-09,selic_target,14.2500,pct_per_year,432
2026-07-10,selic_target,14.2500,pct_per_year,432
2026-07-13,selic_target,14.2500,pct_per_year,432
2026-07-14,selic_target,14.2500,pct_per_year,432
2026-07-15,ipca_monthly,0.0700,pct_per_month,433
2026-07-15,selic_target,14.2500,pct_per_year,432
2026-07-16,ipca_monthly,0.0700,pct_per_month,433
2026-07-16,selic_target,14.2500,pct_per_year,432
2026-07-17,ipca_monthly,0.0700,pct_per_month,433
2026-07-17,selic_target,14.2500,pct_per_year,432
2026-07-20,ipca_monthly,0.0700,pct_per_month,433
2026-07-20,selic_target,14.2500,pct_per_year,432
2026-07-21,ipca_monthly,0.0700,pct_per_month,433
2026-07-21,selic_target,14.2500,pct_per_year,432
2026-07-22,ipca_monthly,0.0700,pct_per_month,433
2026-07-22,selic_target,14.2500,pct_per_year,432
